Provider Ticket,Broker Ticket,Type,Currency,Standard Lots,Date Open,Date Close,Price Open,Price Close,Highest Profit (Pips),Worst Drawdown (Pips),Interest ($),Profit (Pips),Profit ($)
400.1345410548252,14345957,BUY,USD/CAD,1,2012/08/21 10:41:35,2012/08/21 23:57:15,0.98548,0.9897,44,-14,0,42.2,426.39
400.1344807031910,14268509,SELL,GBP/USD,1,2012/08/16 06:12:32,2012/08/16 08:30:01,1.5636,1.5682,0,-46,0,-46,-460
400.1343746847989,14049435,SELL,EUR/USD,1,2012/08/03 14:30:51,2012/08/06 07:39:13,1.23408,1.2356,17,-104,0.62,-15.2,-151.38
400.1343746863125,14050361,SELL,EUR/USD,1,2012/08/03 15:06:12,2012/08/06 07:22:13,1.23447,1.23653,3,-100,0.62,-20.6,-205.38
400.1343746865891,14050638,SELL,EUR/USD,1,2012/08/03 15:14:01,2012/08/06 07:04:25,1.23541,1.23689,0,-91,0.62,-14.8,-147.38
400.1343746868257,14050928,SELL,EUR/USD,1,2012/08/03 15:19:08,2012/08/06 07:04:21,1.23645,1.23689,2,-80,0.62,-4.4,-43.38
400.1343746817103,14043810,BUY,USD/JPY,1,2012/08/03 13:18:30,2012/08/03 15:18:31,78.699,78.545,3,-17,0,-15.4,-196.07
400.1343746361464,14024155,SELL,EUR/USD,1,2012/08/02 18:27:57,2012/08/03 12:08:59,1.21686,1.22499,1,-125,0.61,-81.3,-812.39
400.1343746669637,14031164,SELL,EUR/USD,1,2012/08/03 07:34:24,2012/08/03 12:07:01,1.22034,1.22524,9,-90,0,-49,-490
400.1343746713894,14033111,SELL,EUR/USD,1,2012/08/03 09:25:37,2012/08/03 12:06:44,1.22205,1.22516,0,-73,0,-31.1,-311
400.1343746714263,14033295,SELL,EUR/USD,1,2012/08/03 09:27:06,2012/08/03 12:06:39,1.22294,1.22532,0,-64,0,-23.8,-238
400.1343746224806,14015340,BUY,AUD/USD,1,2012/08/02 13:01:40,2012/08/02 13:07:53,1.04665,1.04686,5,-14,0,2.1,21
400.1343746211362,14011655,SELL,AUD/USD,1,2012/08/02 12:36:19,2012/08/02 12:39:17,1.0568,1.05369,33,-2,0,31.1,311
400.1343746210920,14011316,SELL,AUD/USD,1,2012/08/02 12:35:07,2012/08/02 12:37:29,1.05615,1.05423,19,-20,0,19.2,192
400.1343746188948,14007526,BUY,EUR/USD,1,2012/08/02 11:52:16,2012/08/02 12:02:39,1.22935,1.2312,19,-6,0,18.5,185
400.1343604166917,13947962,SELL,AUD/USD,1,2012/07/31 05:18:51,2012/07/31 06:14:02,1.05309,1.05189,14,-5,0,12,120
400.1343603824841,13933740,SELL,AUD/USD,1,2012/07/30 13:46:42,2012/07/30 16:21:40,1.04959,1.04834,15,-13,0,12.5,125
400.1343603784463,13931185,SELL,AUD/USD,1,2012/07/30 12:05:58,2012/07/30 12:50:07,1.04936,1.04844,14,-6,0,9.2,92
400.1343595107184,13915545,SELL,AUD/USD,1,2012/07/29 21:45:28,2012/07/29 22:22:07,1.04802,1.04701,11,-5,0,10.1,101
400.1343056398262,13804764,SELL,AUD/USD,1,2012/07/25 12:25:31,2012/07/25 14:12:49,1.02933,1.02808,16,-18,0,12.5,125
400.1342387255141,13664245,SELL,AUD/USD,1,2012/07/19 00:26:51,2012/07/20 12:27:13,1.03729,1.03905,10,-72,-15.68,-17.6,-191.68
400.1342387332927,13671104,SELL,AUD/USD,1,2012/07/19 03:56:39,2012/07/20 12:25:21,1.03929,1.03914,8,-52,-15.68,1.5,-0.68
400.1342387992729,13712820,SELL,AUD/USD,1,2012/07/20 09:06:39,2012/07/20 09:56:25,1.04238,1.04138,11,-3,0,10,100
400.1342387414629,13677891,SELL,AUD/USD,1,2012/07/19 07:33:30,2012/07/20 04:45:10,1.04095,1.04065,12,-36,-15.68,3,14.32
400.1342387470957,13688046,SELL,AUD/USD,1,2012/07/19 10:00:08,2012/07/20 04:45:05,1.04172,1.04065,15,-28,-15.68,10.7,91.32
