PseudoTicket,Action,Type,Symbol,Lots,Date,Price
0,OPEN,SELL,EURUSD,1.0,2011-05-24 05:24:00,1.4073599999999999
0,CLOSE,SELL,EURUSD,1.0,2011-05-25 06:30:32,1.4044399999999999
1,OPEN,SELL,EURUSD,1.0,2011-06-09 12:48:24,1.4544600000000001
1,CLOSE,SELL,EURUSD,1.0,2011-06-09 13:19:05,1.45
2,OPEN,SELL,EURUSD,1.0,2011-06-10 01:05:56,1.4533700000000001
2,CLOSE,SELL,EURUSD,1.0,2011-06-10 05:04:16,1.44906
3,OPEN,SELL,EURUSD,1.0,2011-06-14 05:50:57,1.44354
3,CLOSE,SELL,EURUSD,1.0,2011-06-15 01:46:22,1.4414800000000001
4,OPEN,SELL,EURUSD,1.0,2011-06-16 22:24:17,1.42035
4,CLOSE,SELL,EURUSD,1.0,2011-06-17 04:30:05,1.4148700000000001
5,OPEN,BUY,EURUSD,1.0,2011-06-20 05:41:36,1.42279
5,CLOSE,BUY,EURUSD,1.0,2011-06-20 10:52:15,1.4233100000000001
6,OPEN,BUY,EURUSD,1.0,2011-06-23 09:36:16,1.42506
7,OPEN,BUY,EURUSD,1.0,2011-06-23 12:17:42,1.421
8,OPEN,BUY,EURUSD,1.0,2011-06-23 14:26:22,1.4149499999999999
7,CLOSE,BUY,EURUSD,1.0,2011-06-23 16:57:54,1.4181999999999999
6,CLOSE,BUY,EURUSD,1.0,2011-06-23 16:57:54,1.4181999999999999
8,CLOSE,BUY,EURUSD,1.0,2011-06-23 16:57:54,1.4181999999999999
9,OPEN,SELL,EURUSD,1.0,2011-06-23 19:02:08,1.4225000000000001
9,CLOSE,SELL,EURUSD,1.0,2011-06-24 08:18:48,1.42449
10,OPEN,SELL,EURUSD,1.0,2011-06-24 10:19:42,1.4223300000000001
10,CLOSE,SELL,EURUSD,1.0,2011-06-24 10:59:16,1.4202999999999999
11,OPEN,SELL,EURUSD,1.0,2011-06-27 22:38:34,1.4297899999999999
11,CLOSE,SELL,EURUSD,1.0,2011-06-28 03:42:03,1.4297899999999999
12,OPEN,BUY,EURUSD,1.0,2011-07-06 10:50:36,1.43404
12,CLOSE,BUY,EURUSD,1.0,2011-07-06 23:46:26,1.43262
13,OPEN,SELL,EURUSD,1.0,2011-07-07 06:50:26,1.4333400000000001
13,CLOSE,SELL,EURUSD,1.0,2011-07-07 08:10:29,1.43022
14,OPEN,SELL,EURUSD,1.0,2011-07-12 18:11:30,1.4036999999999999
14,CLOSE,SELL,EURUSD,1.0,2011-07-12 19:26:40,1.3987000000000001
15,OPEN,SELL,EURUSD,1.0,2011-07-13 09:35:48,1.4093800000000001
16,OPEN,SELL,EURUSD,1.0,2011-07-13 10:03:16,1.41012
16,CLOSE,SELL,EURUSD,1.0,2011-07-13 11:29:13,1.40689
17,OPEN,SELL,EURUSD,1.0,2011-07-13 22:10:39,1.4221999999999999
18,OPEN,SELL,EURUSD,1.0,2011-07-13 23:43:09,1.42465
19,OPEN,SELL,EURUSD,1.0,2011-07-13 23:53:59,1.4272
15,CLOSE,SELL,EURUSD,1.0,2011-07-14 03:23:03,1.42222
19,CLOSE,SELL,EURUSD,1.0,2011-07-14 04:01:49,1.42134
18,CLOSE,SELL,EURUSD,1.0,2011-07-14 05:58:14,1.41961
17,CLOSE,SELL,EURUSD,1.0,2011-07-14 06:00:49,1.41805
20,OPEN,BUY,EURUSD,1.0,2011-07-14 06:06:40,1.41784
20,CLOSE,BUY,EURUSD,1.0,2011-07-14 07:03:06,1.4184699999999999
21,OPEN,BUY,EURUSD,1.0,2011-07-19 07:20:59,1.41482
22,OPEN,BUY,EURUSD,1.0,2011-07-19 11:19:28,1.41682
21,CLOSE,BUY,EURUSD,1.0,2011-07-19 18:18:10,1.4119999999999999
22,CLOSE,BUY,EURUSD,1.0,2011-07-19 18:18:10,1.4119999999999999
23,OPEN,BUY,EURUSD,1.0,2011-07-20 06:35:58,1.41849
23,CLOSE,BUY,EURUSD,1.0,2011-07-20 07:16:27,1.4164000000000001
24,OPEN,BUY,EURUSD,1.0,2011-07-21 09:06:48,1.4195
24,CLOSE,BUY,EURUSD,1.0,2011-07-21 11:35:33,1.41811
25,OPEN,SELL,EURUSD,1.0,2011-07-21 11:39:01,1.4176299999999999
25,CLOSE,SELL,EURUSD,1.0,2011-07-21 12:12:40,1.42214
26,OPEN,BUY,EURUSD,1.0,2011-07-21 13:24:41,1.4331499999999999
26,CLOSE,BUY,EURUSD,1.0,2011-07-21 21:11:47,1.4430499999999999
27,OPEN,BUY,EURUSD,1.0,2011-07-22 02:26:05,1.4388799999999999
27,CLOSE,BUY,EURUSD,1.0,2011-07-22 07:33:02,1.44238
28,OPEN,BUY,EURUSD,1.0,2011-07-22 11:56:02,1.4383999999999999
29,OPEN,BUY,EURUSD,1.0,2011-07-22 13:46:17,1.4339999999999999
29,CLOSE,BUY,EURUSD,1.0,2011-07-24 21:01:28,1.4386000000000001
28,CLOSE,BUY,EURUSD,1.0,2011-07-24 21:05:26,1.4387000000000001
30,OPEN,BUY,EURUSD,1.0,2011-07-25 07:07:10,1.4350799999999999
30,CLOSE,BUY,EURUSD,1.0,2011-07-26 06:50:21,1.45126
31,OPEN,BUY,EURUSD,1.0,2011-07-26 09:07:28,1.4475100000000001
32,OPEN,BUY,EURUSD,1.0,2011-07-26 12:07:54,1.44781
31,CLOSE,BUY,EURUSD,1.0,2011-07-26 12:08:02,1.4476500000000001
32,CLOSE,BUY,EURUSD,1.0,2011-07-26 12:08:46,1.4478800000000001
33,OPEN,BUY,EURUSD,1.0,2011-07-26 12:09:21,1.4479
33,CLOSE,BUY,EURUSD,1.0,2011-07-26 12:09:49,1.4475899999999999
34,OPEN,SELL,EURUSD,1.0,2011-07-26 12:09:54,1.44753
34,CLOSE,SELL,EURUSD,1.0,2011-07-26 12:10:12,1.44773
35,OPEN,BUY,EURUSD,1.0,2011-07-26 12:10:19,1.44774
35,CLOSE,BUY,EURUSD,1.0,2011-07-26 12:10:29,1.4477599999999999
36,OPEN,BUY,EURUSD,1.0,2011-07-26 13:01:13,1.4468099999999999
36,CLOSE,BUY,EURUSD,1.0,2011-07-26 18:44:45,1.45133
37,OPEN,BUY,EURUSD,1.0,2011-07-27 11:32:30,1.4460200000000001
37,CLOSE,BUY,EURUSD,1.0,2011-07-27 15:10:41,1.4359999999999999
38,OPEN,BUY,EURUSD,1.0,2011-07-27 16:09:51,1.4339999999999999
38,CLOSE,BUY,EURUSD,1.0,2011-07-28 04:34:21,1.43607
39,OPEN,SELL,EURUSD,1.0,2011-07-28 09:53:06,1.4323399999999999
39,CLOSE,SELL,EURUSD,1.0,2011-07-29 02:31:19,1.429
40,OPEN,SELL,EURUSD,1.0,2011-08-01 09:33:28,1.4430000000000001
40,CLOSE,SELL,EURUSD,1.0,2011-08-01 14:05:37,1.42876
41,OPEN,SELL,EURUSD,1.0,2011-08-02 00:31:44,1.4268400000000001
41,CLOSE,SELL,EURUSD,1.0,2011-08-02 06:29:43,1.4241900000000001
42,OPEN,SELL,EURUSD,1.0,2011-08-02 09:26:21,1.41713
