Cost,BarsNum
1.2839,0
1.284,1
1.2841,1
1.2842,3
1.2843,3
1.2844,5
1.2845,5
1.2846,5
1.2847,7
1.2848,9
1.2849,11
1.285,11
1.2851,13
1.2852,15
1.2853,16
1.2854,18
1.2855,18
1.2856,21
1.2857,22
1.2858,21
1.2859,20
1.286,16
1.2861,15
1.2862,13
1.2863,19
1.2864,17
1.2865,16
1.2866,14
1.2867,14
1.2868,10
1.2869,10
1.287,7
1.2871,7
1.2872,7
1.2873,7
1.2874,7
1.2875,8
1.2876,9
1.2877,10
1.2878,10
1.2879,10
1.288,11
1.2881,12
1.2882,14
1.2883,17
1.2884,19
1.2885,21
1.2886,25
1.2887,31
1.2888,28
1.2889,27
1.289,32
1.2891,35
1.2892,35
1.2893,35
1.2894,36
1.2895,38
1.2896,40
1.2897,40
1.2898,38
1.2899,32
1.29,29
1.2901,30
1.2902,32
1.2903,33
1.2904,32
1.2905,30
1.2906,32
1.2907,29
1.2908,29
1.2909,29
1.291,29
1.2911,30
1.2912,29
1.2913,26
1.2914,26
1.2915,26
1.2916,25
1.2917,27
1.2918,28
1.2919,28
1.292,30
1.2921,33
1.2922,35
1.2923,29
1.2924,30
1.2925,32
1.2926,32
1.2927,35
1.2928,32
1.2929,37
1.293,34
1.2931,35
1.2932,34
1.2933,33
1.2934,30
1.2935,29
1.2936,26
1.2937,24
1.2938,23
1.2939,21
1.294,21
1.2941,19
1.2942,16
1.2943,15
1.2944,15
1.2945,15
1.2946,15
1.2947,13
1.2948,12
1.2949,11
1.295,11
1.2951,11
1.2952,13
1.2953,14
1.2954,19
1.2955,21
1.2956,23
1.2957,24
1.2958,28
1.2959,37
1.296,38
1.2961,39
1.2962,46
1.2963,47
1.2964,48
1.2965,46
1.2966,39
1.2967,34
1.2968,28
1.2969,25
1.297,20
1.2971,21
1.2972,21
1.2973,20
1.2974,21
1.2975,21
1.2976,21
1.2977,20
1.2978,20
1.2979,21
1.298,16
1.2981,15
1.2982,14
1.2983,14
1.2984,14
1.2985,14
1.2986,14
1.2987,13
1.2988,14
1.2989,18
1.299,20
1.2991,20
1.2992,21
1.2993,22
1.2994,26
1.2995,26
1.2996,25
1.2997,27
1.2998,26
1.2999,26
1.3,25
1.3001,26
1.3002,31
1.3003,31
1.3004,32
1.3005,36
1.3006,37
1.3007,41
1.3008,39
1.3009,43
1.301,45
1.3011,46
1.3012,47
1.3013,52
1.3014,55
1.3015,54
1.3016,53
1.3017,50
1.3018,51
1.3019,46
1.302,53
1.3021,57
1.3022,60
1.3023,62
1.3024,60
1.3025,53
1.3026,50
1.3027,44
1.3028,39
1.3029,42
1.303,42
1.3031,42
1.3032,40
1.3033,43
1.3034,39
1.3035,36
1.3036,28
1.3037,25
1.3038,24
1.3039,24
1.304,22
1.3041,21
1.3042,18
1.3043,15
1.3044,14
1.3045,17
1.3046,17
1.3047,16
1.3048,15
1.3049,16
1.305,14
1.3051,12
1.3052,13
1.3053,13
1.3054,14
1.3055,14
1.3056,12
1.3057,13
1.3058,11
1.3059,11
1.306,13
1.3061,15
1.3062,18
1.3063,21
1.3064,24
1.3065,27
1.3066,28
1.3067,29
1.3068,28
1.3069,30
1.307,30
1.3071,25
1.3072,28
1.3073,29
1.3074,27
1.3075,29
1.3076,26
1.3077,28
1.3078,31
1.3079,30
1.308,31
1.3081,32
1.3082,37
1.3083,37
1.3084,34
1.3085,31
1.3086,32
1.3087,28
1.3088,28
1.3089,28
1.309,26
1.3091,23
1.3092,24
1.3093,24
1.3094,28
1.3095,27
1.3096,35
1.3097,44
1.3098,46
1.3099,55
1.31,59
1.3101,67
1.3102,66
1.3103,78
1.3104,80
1.3105,85
1.3106,78
1.3107,72
1.3108,71
1.3109,63
1.311,61
1.3111,55
1.3112,50
1.3113,47
1.3114,46
1.3115,44
1.3116,39
1.3117,36
1.3118,39
1.3119,43
1.312,42
1.3121,42
1.3122,47
1.3123,48
1.3124,48
1.3125,49
1.3126,49
1.3127,48
1.3128,46
1.3129,42
1.313,38
1.3131,36
1.3132,36
1.3133,33
1.3134,34
1.3135,34
1.3136,39
1.3137,42
1.3138,43
1.3139,49
1.314,49
1.3141,49
1.3142,44
1.3143,43
1.3144,45
1.3145,42
1.3146,46
1.3147,44
1.3148,40
1.3149,39
1.315,40
1.3151,40
1.3152,39
1.3153,41
1.3154,43
1.3155,42
1.3156,45
1.3157,51
1.3158,50
1.3159,51
1.316,50
1.3161,54
1.3162,54
1.3163,51
1.3164,52
1.3165,58
1.3166,63
1.3167,68
1.3168,64
1.3169,63
1.317,61
1.3171,54
1.3172,54
1.3173,50
1.3174,52
1.3175,50
1.3176,51
1.3177,54
1.3178,56
1.3179,55
1.318,59
1.3181,64
1.3182,66
1.3183,66
1.3184,67
1.3185,65
1.3186,60
1.3187,57
1.3188,54
1.3189,53
1.319,53
1.3191,55
1.3192,51
1.3193,43
1.3194,37
1.3195,36
1.3196,31
1.3197,30
1.3198,25
1.3199,23
1.32,21
1.3201,19
1.3202,16
1.3203,16
1.3204,17
1.3205,16
1.3206,18
1.3207,17
1.3208,18
1.3209,17
1.321,16
1.3211,15
1.3212,17
1.3213,16
1.3214,14
1.3215,11
1.3216,10
1.3217,7
1.3218,7
1.3219,5
1.322,4
1.3221,3
1.3222,3
1.3223,3
1.3224,3
1.3225,3
1.3226,5
1.3227,4
1.3228,2
1.3229,2
1.323,1
1.3231,1
1.3232,1
1.3233,1
