,PseudoTicket,Action,Type,Symbol,Lots,Date,Price
836,0,OPEN,SELL,EURUSD,1.0,2011-05-24 05:24:00,1.4073599999999999
836,0,CLOSE,SELL,EURUSD,1.0,2011-05-25 06:30:32,1.4044399999999999
831,1,OPEN,SELL,EURUSD,1.0,2011-06-09 12:48:24,1.4544600000000001
831,1,CLOSE,SELL,EURUSD,1.0,2011-06-09 13:19:05,1.45
830,2,OPEN,SELL,EURUSD,1.0,2011-06-10 01:05:56,1.4533700000000001
830,2,CLOSE,SELL,EURUSD,1.0,2011-06-10 05:04:16,1.44906
826,3,OPEN,SELL,EURUSD,1.0,2011-06-14 05:50:57,1.44354
826,3,CLOSE,SELL,EURUSD,1.0,2011-06-15 01:46:22,1.4414800000000001
825,4,OPEN,SELL,EURUSD,1.0,2011-06-16 22:24:17,1.42035
825,4,CLOSE,SELL,EURUSD,1.0,2011-06-17 04:30:05,1.4148700000000001
823,5,OPEN,BUY,EURUSD,1.0,2011-06-20 05:41:36,1.42279
823,5,CLOSE,BUY,EURUSD,1.0,2011-06-20 10:52:15,1.4233100000000001
817,6,OPEN,BUY,EURUSD,1.0,2011-06-23 09:36:16,1.42506
816,7,OPEN,BUY,EURUSD,1.0,2011-06-23 12:17:42,1.421
818,8,OPEN,BUY,EURUSD,1.0,2011-06-23 14:26:22,1.4149499999999999
816,7,CLOSE,BUY,EURUSD,1.0,2011-06-23 16:57:54,1.4181999999999999
817,6,CLOSE,BUY,EURUSD,1.0,2011-06-23 16:57:54,1.4181999999999999
818,8,CLOSE,BUY,EURUSD,1.0,2011-06-23 16:57:54,1.4181999999999999
814,9,OPEN,SELL,EURUSD,1.0,2011-06-23 19:02:08,1.4225000000000001
814,9,CLOSE,SELL,EURUSD,1.0,2011-06-24 08:18:48,1.42449
813,10,OPEN,SELL,EURUSD,1.0,2011-06-24 10:19:42,1.4223300000000001
813,10,CLOSE,SELL,EURUSD,1.0,2011-06-24 10:59:16,1.4202999999999999
811,11,OPEN,SELL,EURUSD,1.0,2011-06-27 22:38:34,1.4297899999999999
811,11,CLOSE,SELL,EURUSD,1.0,2011-06-28 03:42:03,1.4297899999999999
804,12,OPEN,BUY,EURUSD,1.0,2011-07-06 10:50:36,1.43404
804,12,CLOSE,BUY,EURUSD,1.0,2011-07-06 23:46:26,1.43262
803,13,OPEN,SELL,EURUSD,1.0,2011-07-07 06:50:26,1.4333400000000001
803,13,CLOSE,SELL,EURUSD,1.0,2011-07-07 08:10:29,1.43022
797,14,OPEN,SELL,EURUSD,1.0,2011-07-12 18:11:30,1.4036999999999999
797,14,CLOSE,SELL,EURUSD,1.0,2011-07-12 19:26:40,1.3987000000000001
792,15,OPEN,SELL,EURUSD,1.0,2011-07-13 09:35:48,1.4093800000000001
795,16,OPEN,SELL,EURUSD,1.0,2011-07-13 10:03:16,1.41012
