Cost,BarsNum
0.8227,0
0.8228,1
0.8229,1
0.823,1
0.8231,1
0.8232,1
0.8233,1
0.8234,1
0.8235,1
0.8236,1
0.8237,1
0.8238,1
0.8239,1
0.824,1
0.8241,1
0.8242,1
0.8243,1
0.8244,1
0.8245,1
0.8246,1
0.8247,1
0.8248,1
0.8249,1
0.825,1
0.8251,1
0.8252,1
0.8253,1
0.8254,1
0.8255,1
0.8256,1
0.8257,1
0.8258,1
0.8259,1
0.826,1
0.8261,1
0.8262,1
0.8263,1
0.8264,1
0.8265,1
0.8266,1
0.8267,1
0.8268,1
0.8269,1
0.827,1
0.8271,1
0.8272,1
0.8273,1
0.8274,1
0.8275,1
0.8276,1
0.8277,1
0.8278,1
0.8279,1
0.828,1
0.8281,1
0.8282,1
0.8283,1
0.8284,1
0.8285,1
0.8286,1
0.8287,1
0.8288,1
0.8289,1
0.829,1
0.8291,1
0.8292,1
0.8293,1
0.8294,1
0.8295,1
0.8296,1
0.8297,1
0.8298,1
0.8299,1
0.83,1
0.8301,1
0.8302,1
0.8303,1
0.8304,1
0.8305,1
0.8306,1
0.8307,1
0.8308,1
0.8309,1
0.831,1
0.8311,1
0.8312,1
0.8313,1
0.8314,1
0.8315,1
0.8316,1
0.8317,1
0.8318,1
0.8319,1
0.832,1
0.8321,1
0.8322,1
0.8323,1
0.8324,1
0.8325,1
0.8326,1
0.8327,1
0.8328,1
0.8329,1
0.833,1
0.8331,1
0.8332,1
0.8333,1
0.8334,1
0.8335,1
0.8336,1
0.8337,1
0.8338,1
0.8339,1
0.834,1
0.8341,1
0.8342,1
0.8343,1
0.8344,1
0.8345,1
0.8346,1
0.8347,2
0.8348,2
0.8349,2
0.835,2
0.8351,2
0.8352,2
0.8353,2
0.8354,2
0.8355,2
0.8356,2
0.8357,2
0.8358,2
0.8359,2
0.836,2
0.8361,2
0.8362,2
0.8363,2
0.8364,2
0.8365,2
0.8366,2
0.8367,2
0.8368,2
0.8369,2
0.837,2
0.8371,2
0.8372,2
0.8373,3
0.8374,3
0.8375,3
0.8376,3
0.8377,3
0.8378,3
0.8379,3
0.838,3
0.8381,3
0.8382,3
0.8383,3
0.8384,3
0.8385,3
0.8386,3
0.8387,3
0.8388,3
0.8389,3
0.839,3
0.8391,3
0.8392,3
0.8393,3
0.8394,3
0.8395,3
0.8396,3
0.8397,3
0.8398,3
0.8399,3
0.84,3
0.8401,3
0.8402,3
0.8403,3
0.8404,3
0.8405,3
0.8406,3
0.8407,3
0.8408,3
0.8409,3
0.841,3
0.8411,4
0.8412,4
0.8413,4
0.8414,4
0.8415,4
0.8416,4
0.8417,4
0.8418,4
0.8419,4
0.842,4
0.8421,4
0.8422,4
0.8423,4
0.8424,4
0.8425,4
0.8426,4
0.8427,4
0.8428,4
0.8429,4
0.843,4
0.8431,4
0.8432,4
0.8433,4
0.8434,4
0.8435,4
0.8436,4
0.8437,4
0.8438,4
0.8439,4
0.844,6
0.8441,6
0.8442,6
0.8443,6
0.8444,6
0.8445,6
0.8446,6
0.8447,6
0.8448,6
0.8449,6
0.845,6
0.8451,6
0.8452,6
0.8453,6
0.8454,6
0.8455,6
0.8456,6
0.8457,6
0.8458,6
0.8459,6
0.846,6
0.8461,6
0.8462,6
0.8463,6
0.8464,6
0.8465,6
0.8466,6
0.8467,6
0.8468,6
0.8469,6
0.847,6
0.8471,6
0.8472,6
0.8473,6
0.8474,6
0.8475,6
0.8476,6
0.8477,6
0.8478,6
0.8479,6
0.848,6
0.8481,6
0.8482,6
0.8483,6
0.8484,6
0.8485,6
0.8486,6
0.8487,6
0.8488,6
0.8489,6
0.849,6
0.8491,6
0.8492,6
0.8493,6
0.8494,6
0.8495,6
0.8496,6
0.8497,6
0.8498,6
0.8499,6
0.85,6
0.8501,6
0.8502,6
0.8503,6
0.8504,6
0.8505,6
0.8506,6
0.8507,6
0.8508,6
0.8509,6
0.851,6
0.8511,6
0.8512,6
0.8513,6
0.8514,6
0.8515,6
0.8516,6
0.8517,6
0.8518,6
0.8519,6
0.852,6
0.8521,6
0.8522,6
0.8523,6
0.8524,6
0.8525,6
0.8526,6
0.8527,6
0.8528,6
0.8529,6
0.853,6
0.8531,6
0.8532,6
0.8533,6
0.8534,6
0.8535,6
0.8536,6
0.8537,6
0.8538,6
0.8539,6
0.854,6
0.8541,6
0.8542,6
0.8543,6
0.8544,6
0.8545,6
0.8546,6
0.8547,6
0.8548,6
0.8549,6
0.855,6
0.8551,6
0.8552,6
0.8553,6
0.8554,6
0.8555,6
0.8556,6
0.8557,6
0.8558,6
0.8559,6
0.856,6
0.8561,6
0.8562,6
0.8563,7
0.8564,7
0.8565,7
0.8566,7
0.8567,7
0.8568,7
0.8569,7
0.857,7
0.8571,8
0.8572,8
0.8573,8
0.8574,8
0.8575,8
0.8576,8
0.8577,8
0.8578,8
0.8579,8
0.858,8
0.8581,8
0.8582,8
0.8583,8
0.8584,8
0.8585,8
0.8586,8
0.8587,8
0.8588,8
0.8589,8
0.859,8
0.8591,8
0.8592,8
0.8593,8
0.8594,8
0.8595,8
0.8596,8
0.8597,8
0.8598,8
0.8599,8
0.86,8
0.8601,8
0.8602,8
0.8603,8
0.8604,8
0.8605,8
0.8606,8
0.8607,8
0.8608,8
0.8609,8
0.861,8
0.8611,8
0.8612,8
0.8613,8
0.8614,8
0.8615,8
0.8616,8
0.8617,8
0.8618,8
0.8619,8
0.862,8
0.8621,8
0.8622,8
0.8623,8
0.8624,8
0.8625,8
0.8626,8
0.8627,8
0.8628,8
0.8629,8
0.863,9
0.8631,9
0.8632,9
0.8633,9
0.8634,9
0.8635,9
0.8636,9
0.8637,9
0.8638,9
0.8639,9
0.864,9
0.8641,9
0.8642,9
0.8643,9
0.8644,9
0.8645,9
0.8646,9
0.8647,9
0.8648,9
0.8649,9
0.865,9
0.8651,9
0.8652,9
0.8653,9
0.8654,9
0.8655,9
0.8656,9
0.8657,9
0.8658,9
0.8659,9
0.866,9
0.8661,9
0.8662,9
0.8663,9
0.8664,9
0.8665,9
0.8666,9
0.8667,9
0.8668,9
0.8669,9
0.867,9
0.8671,9
0.8672,9
0.8673,9
0.8674,9
0.8675,8
0.8676,8
0.8677,8
0.8678,8
0.8679,8
0.868,8
0.8681,8
0.8682,8
0.8683,8
0.8684,8
0.8685,8
0.8686,8
0.8687,8
0.8688,8
0.8689,8
0.869,8
0.8691,8
0.8692,8
0.8693,8
0.8694,8
0.8695,8
0.8696,8
0.8697,8
0.8698,8
0.8699,8
0.87,8
0.8701,8
0.8702,9
0.8703,9
0.8704,9
0.8705,9
0.8706,9
0.8707,10
0.8708,10
0.8709,10
0.871,10
0.8711,10
0.8712,10
0.8713,10
0.8714,10
0.8715,11
0.8716,11
0.8717,11
0.8718,11
0.8719,11
0.872,11
0.8721,11
0.8722,11
0.8723,11
0.8724,11
0.8725,11
0.8726,11
0.8727,11
0.8728,11
0.8729,11
0.873,11
0.8731,11
0.8732,11
0.8733,11
0.8734,11
0.8735,11
0.8736,12
0.8737,12
0.8738,13
0.8739,13
0.874,13
0.8741,13
0.8742,14
0.8743,14
0.8744,14
0.8745,14
0.8746,14
0.8747,14
0.8748,14
0.8749,14
0.875,15
0.8751,15
0.8752,15
0.8753,15
0.8754,15
0.8755,15
0.8756,15
0.8757,15
0.8758,15
0.8759,15
0.876,15
0.8761,15
0.8762,15
0.8763,15
0.8764,15
0.8765,15
0.8766,15
0.8767,15
0.8768,15
0.8769,15
0.877,15
0.8771,15
0.8772,15
0.8773,15
0.8774,15
0.8775,15
0.8776,15
0.8777,15
0.8778,15
0.8779,15
0.878,15
0.8781,15
0.8782,15
0.8783,15
0.8784,15
0.8785,15
0.8786,15
0.8787,15
0.8788,15
0.8789,15
0.879,15
0.8791,15
0.8792,15
0.8793,15
0.8794,15
0.8795,15
0.8796,15
0.8797,14
0.8798,14
0.8799,14
0.88,14
0.8801,14
0.8802,14
0.8803,14
0.8804,13
0.8805,13
0.8806,13
0.8807,13
0.8808,13
0.8809,13
0.881,13
0.8811,13
0.8812,13
0.8813,13
0.8814,13
0.8815,13
0.8816,13
0.8817,13
0.8818,13
0.8819,13
0.882,13
0.8821,13
0.8822,13
0.8823,13
0.8824,13
0.8825,14
0.8826,13
0.8827,13
0.8828,13
0.8829,13
0.883,13
0.8831,13
0.8832,13
0.8833,13
0.8834,13
0.8835,13
0.8836,13
0.8837,13
0.8838,13
0.8839,13
0.884,13
0.8841,13
0.8842,14
0.8843,14
0.8844,14
0.8845,15
0.8846,15
0.8847,15
0.8848,15
0.8849,15
0.885,15
0.8851,15
0.8852,15
0.8853,15
0.8854,15
0.8855,15
0.8856,15
0.8857,15
0.8858,15
0.8859,14
0.886,14
0.8861,14
0.8862,14
0.8863,14
0.8864,14
0.8865,14
0.8866,14
0.8867,14
0.8868,15
0.8869,15
0.887,15
0.8871,14
0.8872,14
0.8873,14
0.8874,14
0.8875,14
0.8876,14
0.8877,14
0.8878,14
0.8879,14
0.888,14
0.8881,14
0.8882,14
0.8883,14
0.8884,14
0.8885,14
0.8886,14
0.8887,14
0.8888,14
0.8889,14
0.889,14
0.8891,14
0.8892,14
0.8893,14
0.8894,14
0.8895,14
0.8896,14
0.8897,14
0.8898,14
0.8899,14
0.89,14
0.8901,14
0.8902,14
0.8903,14
0.8904,14
0.8905,14
0.8906,14
0.8907,14
0.8908,14
0.8909,14
0.891,14
0.8911,14
0.8912,14
0.8913,14
0.8914,14
0.8915,14
0.8916,14
0.8917,14
0.8918,14
0.8919,14
0.892,14
0.8921,14
0.8922,14
0.8923,14
0.8924,14
0.8925,14
0.8926,14
0.8927,14
0.8928,14
0.8929,14
0.893,14
0.8931,14
0.8932,14
0.8933,14
0.8934,14
0.8935,14
0.8936,14
0.8937,14
0.8938,14
0.8939,14
0.894,14
0.8941,14
0.8942,14
0.8943,14
0.8944,14
0.8945,14
0.8946,14
0.8947,14
0.8948,14
0.8949,14
0.895,14
0.8951,14
0.8952,14
0.8953,14
0.8954,14
0.8955,14
0.8956,14
0.8957,14
0.8958,14
0.8959,14
0.896,14
0.8961,14
0.8962,14
0.8963,14
0.8964,14
0.8965,14
0.8966,14
0.8967,14
0.8968,14
0.8969,14
0.897,14
0.8971,14
0.8972,14
0.8973,14
0.8974,14
0.8975,14
0.8976,14
0.8977,14
0.8978,14
0.8979,14
0.898,14
0.8981,14
0.8982,14
0.8983,14
0.8984,14
0.8985,14
0.8986,14
0.8987,14
0.8988,14
0.8989,14
0.899,14
0.8991,15
0.8992,15
0.8993,15
0.8994,15
0.8995,15
0.8996,15
0.8997,15
0.8998,15
0.8999,15
0.9,15
0.9001,15
0.9002,15
0.9003,15
0.9004,15
0.9005,15
0.9006,15
0.9007,15
0.9008,15
0.9009,15
0.901,14
0.9011,14
0.9012,14
0.9013,14
0.9014,14
0.9015,15
0.9016,15
0.9017,15
0.9018,15
0.9019,15
0.902,15
0.9021,15
0.9022,15
0.9023,15
0.9024,15
0.9025,15
0.9026,15
0.9027,15
0.9028,15
0.9029,15
0.903,15
0.9031,16
0.9032,16
0.9033,16
0.9034,16
0.9035,16
0.9036,16
0.9037,16
0.9038,16
0.9039,16
0.904,16
0.9041,15
0.9042,15
0.9043,15
0.9044,15
0.9045,15
0.9046,15
0.9047,15
0.9048,15
0.9049,15
0.905,14
0.9051,14
0.9052,14
0.9053,14
0.9054,14
0.9055,14
0.9056,14
0.9057,14
0.9058,14
0.9059,14
0.906,14
0.9061,14
0.9062,14
0.9063,14
0.9064,14
0.9065,14
0.9066,14
0.9067,14
0.9068,14
0.9069,14
0.907,13
0.9071,13
0.9072,13
0.9073,13
0.9074,13
0.9075,13
0.9076,13
0.9077,13
0.9078,13
0.9079,13
0.908,13
0.9081,13
0.9082,13
0.9083,13
0.9084,12
0.9085,12
0.9086,12
0.9087,12
0.9088,12
0.9089,12
0.909,12
0.9091,12
0.9092,12
0.9093,12
0.9094,11
0.9095,11
0.9096,11
0.9097,11
0.9098,11
0.9099,11
0.91,11
0.9101,11
0.9102,11
0.9103,11
0.9104,11
0.9105,11
0.9106,11
0.9107,11
0.9108,11
0.9109,11
0.911,11
0.9111,11
0.9112,11
0.9113,11
0.9114,11
0.9115,11
0.9116,12
0.9117,12
0.9118,12
0.9119,12
0.912,12
0.9121,12
0.9122,11
0.9123,11
0.9124,11
0.9125,11
0.9126,11
0.9127,11
0.9128,11
0.9129,11
0.913,11
0.9131,11
0.9132,11
0.9133,11
0.9134,11
0.9135,11
0.9136,11
0.9137,11
0.9138,11
0.9139,11
0.914,11
0.9141,11
0.9142,11
0.9143,11
0.9144,11
0.9145,11
0.9146,11
0.9147,11
0.9148,11
0.9149,11
0.915,11
0.9151,11
0.9152,11
0.9153,11
0.9154,11
0.9155,11
0.9156,11
0.9157,11
0.9158,11
0.9159,11
0.916,11
0.9161,11
0.9162,11
0.9163,11
0.9164,11
0.9165,11
0.9166,11
0.9167,11
0.9168,11
0.9169,11
0.917,11
0.9171,11
0.9172,11
0.9173,11
0.9174,11
0.9175,11
0.9176,11
0.9177,11
0.9178,11
0.9179,11
0.918,11
0.9181,11
0.9182,11
0.9183,11
0.9184,11
0.9185,11
0.9186,11
0.9187,11
0.9188,11
0.9189,11
0.919,11
0.9191,11
0.9192,11
0.9193,12
0.9194,12
0.9195,12
0.9196,12
0.9197,12
0.9198,12
0.9199,12
0.92,12
0.9201,12
0.9202,12
0.9203,12
0.9204,12
0.9205,12
0.9206,12
0.9207,12
0.9208,12
0.9209,12
0.921,12
0.9211,12
0.9212,12
0.9213,12
0.9214,12
0.9215,12
0.9216,12
0.9217,12
0.9218,12
0.9219,12
0.922,12
0.9221,12
0.9222,12
0.9223,12
0.9224,12
0.9225,12
0.9226,12
0.9227,12
0.9228,12
0.9229,12
0.923,12
0.9231,12
0.9232,12
0.9233,12
0.9234,12
0.9235,12
0.9236,12
0.9237,12
0.9238,12
0.9239,12
0.924,12
0.9241,12
0.9242,11
0.9243,11
0.9244,11
0.9245,11
0.9246,11
0.9247,10
0.9248,10
0.9249,10
0.925,10
0.9251,10
0.9252,10
0.9253,10
0.9254,10
0.9255,10
0.9256,10
0.9257,10
0.9258,10
0.9259,10
0.926,10
0.9261,10
0.9262,10
0.9263,10
0.9264,10
0.9265,10
0.9266,10
0.9267,10
0.9268,10
0.9269,10
0.927,10
0.9271,10
0.9272,10
0.9273,10
0.9274,10
0.9275,10
0.9276,10
0.9277,10
0.9278,10
0.9279,10
0.928,10
0.9281,10
0.9282,10
0.9283,10
0.9284,10
0.9285,11
0.9286,11
0.9287,11
0.9288,11
0.9289,11
0.929,11
0.9291,11
0.9292,11
0.9293,11
0.9294,10
0.9295,10
0.9296,10
0.9297,10
