Date,Time,Open,High,Low,Close,Volume,RSI
1999.11.01,00:00,1.0551,1.0037,1.0594,1.0085,150615,0
1999.12.01,00:00,1.0086,0.9991,1.0297,1.0062,131460,0
2000.01.01,00:00,1.0073,0.9667,1.0415,0.9711,138774,0
2000.02.01,00:00,0.9713,0.9401,1.0089,0.9635,138565,0
2000.03.01,00:00,0.9634,0.9478,0.9793,0.9552,158742,0
2000.04.01,00:00,0.9563,0.903,0.9749,0.9117,130990,0
2000.05.01,00:00,0.912,0.8844,0.9412,0.937,149289,0
2000.06.01,00:00,0.9371,0.9284,0.97,0.9523,136675,0
2000.07.01,00:00,0.9517,0.9192,0.9599,0.9266,127369,0
2000.08.01,00:00,0.9267,0.8841,0.9293,0.8886,134408,0
2000.09.01,00:00,0.8887,0.8439,0.904,0.8842,143935,0
2000.10.01,00:00,0.884,0.8227,0.8858,0.8484,145699,0
2000.11.01,00:00,0.8487,0.8372,0.8796,0.8724,162547,0
2000.12.01,00:00,0.8727,0.8701,0.943,0.9424,162805,0
2001.01.01,00:00,0.9421,0.9115,0.9596,0.9377,179557,39.58823529
2001.02.01,00:00,0.9377,0.9014,0.9445,0.9235,157493,37.88429895
2001.03.01,00:00,0.9235,0.8749,0.9382,0.8755,188096,32.75250387
2001.04.01,00:00,0.8745,0.8706,0.9093,0.8892,180302,35.44053318
2001.05.01,00:00,0.8893,0.8439,0.9009,0.8446,189811,31.08441587
2001.06.01,00:00,0.8449,0.841,0.8674,0.8497,166382,32.11198822
2001.07.01,00:00,0.8506,0.8346,0.8825,0.8763,196472,37.35830614
2001.08.01,00:00,0.8764,0.8737,0.9241,0.9125,207175,43.73125405
2001.09.01,00:00,0.9094,0.8824,0.9335,0.9114,188327,43.58614512
2001.10.01,00:00,0.9115,0.8867,0.9246,0.9002,202804,42.05597428
2001.11.01,00:00,0.9002,0.8735,0.9121,0.8956,193007,41.41291391
2001.12.01,00:00,0.8956,0.8741,0.9083,0.8896,189759,40.54213331
2002.01.01,00:00,0.8897,0.857,0.9069,0.8592,208695,36.36943897
2002.02.01,00:00,0.8593,0.8562,0.8803,0.8695,170391,38.67254147
2002.03.01,00:00,0.8694,0.8629,0.887,0.8719,181304,39.22453566
2002.04.01,00:00,0.8716,0.8714,0.9049,0.9005,184481,45.51776974
2002.05.01,00:00,0.9005,0.899,0.9416,0.9337,203837,51.76216191
2002.06.01,00:00,0.9325,0.9302,0.9992,0.9911,187744,60.24571418
2002.07.01,00:00,0.9913,0.9714,1.021,0.9774,228140,57.64011217
2002.08.01,00:00,0.9773,0.9621,0.9919,0.9815,205865,58.22244718
2002.09.01,00:00,0.9822,0.9608,0.9993,0.9865,199415,58.96334928
2002.10.01,00:00,0.9866,0.9687,0.9931,0.9906,204566,59.59611006
2002.11.01,00:00,0.9905,0.9877,1.0173,0.9938,191526,60.11306079
2002.12.01,00:00,0.9931,0.986,1.0507,1.0489,193061,67.7617034
2003.01.01,00:00,1.0492,1.0335,1.091,1.0771,218607,70.84328994
2003.02.01,00:00,1.0787,1.0664,1.0938,1.0806,197445,71.21110616
2003.03.01,00:00,1.0779,1.0502,1.1087,1.0922,213169,72.45151461
2003.04.01,00:00,1.0916,1.0559,1.1191,1.1183,211570,75.05573454
2003.05.01,00:00,1.1182,1.1154,1.1931,1.1785,249591,79.79914185
2003.06.01,00:00,1.1717,1.1399,1.1932,1.1524,227034,73.29179774
2003.07.01,00:00,1.1525,1.1112,1.1613,1.1233,248745,66.7555282
2003.08.01,00:00,1.1233,1.0788,1.143,1.0985,211872,61.70498377
2003.09.01,00:00,1.0989,1.0762,1.1739,1.1658,226627,68.63905328
2003.10.01,00:00,1.1655,1.1531,1.1865,1.1586,242823,67.23639314
2003.11.01,00:00,1.158,1.1376,1.2019,1.1998,202975,70.90085948
2003.12.01,00:00,1.1988,1.1935,1.2649,1.2588,229365,75.18171253
2004.01.01,00:00,1.2592,1.2333,1.2901,1.2467,239514,72.81582563
2004.02.01,00:00,1.2482,1.2371,1.293,1.2495,225348,73.02735112
2004.03.01,00:00,1.2482,1.2046,1.2544,1.2316,242779,69.31415266
2004.04.01,00:00,1.2314,1.1759,1.2391,1.1986,231441,62.95846778
2004.05.01,00:00,1.1995,1.177,1.23,1.2192,264650,65.10921393
2004.06.01,00:00,1.2193,1.1953,1.2356,1.2184,261996,64.9514903
2004.07.01,00:00,1.2185,1.1989,1.246,1.2016,254341,61.57796743
2004.08.01,00:00,1.2066,1.1968,1.2386,1.2178,222069,63.54427175
2004.09.01,00:00,1.2176,1.2025,1.2442,1.2427,139940,66.39129607
2004.10.01,00:00,1.2427,1.2224,1.2839,1.2795,147815,70.10690073
2004.11.01,00:00,1.2814,1.2654,1.3333,1.3286,185348,74.20458596
2004.12.01,00:00,1.3287,1.3138,1.3662,1.3555,233737,76.13472898
